Q9NZJ5	EIF2AK3
Q8N2A8	PLD6
Q8NHG7	SVIP
Q16799	RTN1
O95391	SLU7
Q01959	SLC6A3
Q92817	EVPL
A6NNM3	RIMBP3B
Q9UBU6	FAM8A1
Q6ZN57	ZFP2
Q9P298	HIGD1B
Q8TAK6	OLIG1
O75386	TULP3
P14555	PLA2G2A
O60481	ZIC3
Q9H6R0	DHX33
O14493	CLDN4
A0A0B4J273	TRAV34
Q0VGE8	ZNF816
P16233	PNLIP
P59510	ADAMTS20
P13987	CD59
Q9NVV9	THAP1
Q96BW9	TAMM41
Q8N9Z9	LMNTD1
Q9Y6P5	SESN1
Q9HCP0	CSNK1G1
P06310	IGKV2-30
Q6ZTQ4	CDHR3
P15884	TCF4
P20718	GZMH
Q8N0Y5	OR8I2
P14770	GP9
P0CW00	TSPY8
P98066	TNFAIP6
